ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
11;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
11;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
11;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
12;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
12;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
12;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
12;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
12;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
12;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
12;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
12;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
13;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
13;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
13;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
13;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
13;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
13;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
13;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
13;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
14;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
14;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
14;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
14;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
14;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
14;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
14;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
14;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
15;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
15;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
15;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
15;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
15;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
15;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
15;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
15;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
16;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
16;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
16;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
16;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
16;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
16;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
16;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
16;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
17;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
17;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
17;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
17;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
17;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
17;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
17;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
17;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
18;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
18;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
18;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
18;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
18;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
18;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
18;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
18;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
19;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
19;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
19;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
19;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
19;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
19;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
19;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
19;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
20;1;1000;10;60;Full house;5000;5;90;Full house;No battery;2
20;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
20;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
20;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
