ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
54;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
54;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
54;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
54;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
54;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
54;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
55;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
55;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
55;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
55;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
55;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
55;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
55;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
55;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
56;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
56;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
56;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
56;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
56;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
56;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
56;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
56;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
57;1;1000;10;60;Full house;5000;5;90;Full house;No battery;2
57;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
57;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
57;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
57;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
57;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
57;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
57;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
58;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
58;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
58;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
58;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
58;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
58;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
58;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
58;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
59;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
59;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
59;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
59;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
59;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
59;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
59;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
59;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
60;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
60;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
60;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
60;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
60;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
60;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
60;7;1000;10;60;One socket;5000;15;30;Full house;No battery;1
60;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
61;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
61;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
61;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
61;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
61;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
61;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
61;7;1000;10;60;One socket;5000;15;30;Full house;No battery;1
61;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
62;1;1000;10;60;Full house;5000;5;90;Full house;No battery;2
62;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
62;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
62;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
62;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
62;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
62;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
62;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
63;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
63;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
63;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
63;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
63;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
63;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
63;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
63;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
64;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
64;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
64;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
64;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
64;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
64;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
64;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
64;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
